排序,編號,大分類,題號名稱,配分,計分方式,每項扣分,子項清單,規範說明
1,A1,活動告示&清潔維護,1.店外海報,4,合格0分,,,"海報(大海報/Famihot/3合1/特殊商流靜電貼/自製/政令貼)張貼完整、無過期、脫落或破損"
2,A2,活動告示&清潔維護,2.物流籃,3,合格0分,,,店外物流籃整齊堆疊不阻擋入店動線(高度≤120cm)
3,A3,活動告示&清潔維護,3.店外環境清潔,5,合格0分,,,店外空間乾淨整潔(玻璃、門框、休憩區、地板、柱面…)
4,A4,活動告示&清潔維護,4.後櫃台清潔,3,合格0分,,,後櫃台、洗手台、咖啡機、霜淇淋機、煮茶機乾淨無雜物
5,A5,活動告示&清潔維護,5.FF區POP,3,合格0分,,,FF區POP張貼完整無過期或破損褪色且填寫銷售時段
6,A6,活動告示&清潔維護,6.FF區清潔,3,合格0分,,,FF區桌面、抽屜、機台、防塵罩、熟食夾及微波爐乾淨無髒污
7,A7,活動告示&清潔維護,7.貨架清潔,8,分區扣分,2,OC|WI|冷凍櫃|口巧|零食|加工|TM前貨架|六格陳列架|其他貨架:填寫,貨架層板、機台邊框乾淨無積塵髒污
8,A8,活動告示&清潔維護,8.店內活動資訊,3,合格0分,,,FamiNews/WI/OC/立櫃看板 POP張貼完整且無過期
9,A9,活動告示&清潔維護,9.店內地板,3,合格0分,,,店內地板清潔無明顯髒污且落實地墊貼膠
10,B10,商品陳列,10.商品豐富陳列,18,分區扣分,2,OC|WI|冷凍櫃|口巧|零食|加工|TM前貨架|六格陳列架|其他貨架:填寫,商品貨架豐富陳列
11,B11,商品陳列,11.商品排面整齊,8,分區扣分,1,OC|WI|冷凍櫃|口巧|零食|加工|TM前貨架|其他貨架:填寫,商品貨架排面整齊
12,B12,商品陳列,12.價格清楚標示,12,分區扣分,2,OC|WI|冷凍櫃|口巧|零食|加工|TM前貨架|其他貨架:填寫,價格標示清楚
13,B13,商品陳列,13.FF區商品陳列,9,分區扣分,3,番薯機|馬鈴薯機+夯番麥:2|熱狗機|蒸包機|蛋鍋（不足1/2；麻辣蛋不觀察）|馬尚煮機|備品區（醬包、袋子、熱狗麵包…）|炸烤物櫃|現烤點心櫃|其他:填寫,商品、醬包、備品陳列整齊不可空架
14,B14,商品陳列,14.溫層/中島櫃,3,合格0分,,,檔期主題商品集中陳列並搭配活動插卡/飾條/背板；中島櫃上方不得放置商品
15,B15,商品陳列,15.落地陳列,5,合格0分,,,上層陳列量≥一半且拉排面、POP完整；落地無異常堆疊、不遮門面/貨架、割箱一致
16,C16,客用空間,16.休憩區,7,合格0分,,,休憩區桌椅及空間乾淨無髒污、桌貼無殘膠破損翹起；無阻擋動線
17,C17,客用空間,17.垃圾桶,3,合格0分,,,投入口無髒污膠痕垃圾滿溢；指示標籤清楚無破損外翻脫落
